"70BCSV 	",Prueba subir archivo 
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 ,
25,
CTRWL,1550
SPAN,200
START WL,1450
STOP WL,1650
WLFREQ,0
REFL,-59.9
LSCL,4
RESLN,0.2
AVG,1
SMPLAUTO,1
SMPL,5001
SMPLINTVL,0.04
HIGH2,
MEAS,
LSUNT,0
NMSKH,OFF
RESCOR,0
SMOOTH,0
FIBERTYPE,0
MEASWL,1
SWPSPD,0
RESPARM,9674
FREQPARM,9674
,
,
1474.16,-70.937
1474.2,-70.959
1474.24,-70.968
1474.28,-70.966
1474.32,-71.016
1474.36,-71.016
1474.4,-71.078
1474.44,-71.103
1474.48,-71.115
1474.52,-71.138
1474.56,-71.186
1474.6,-71.207
1474.64,-71.239
1474.68,-71.285
1474.72,-71.285
1474.76,-71.306
1474.8,-71.34
1474.84,-71.398
1474.88,-71.397
1474.92,-71.432
1474.96,-71.46
1475,-71.478
1475.04,-71.511
1475.08,-71.519
1475.12,-71.563
1475.16,-71.609
1475.2,-71.598
1475.24,-71.634
1475.28,-71.657
1475.32,-71.688
1475.36,-71.737
1475.4,-71.737
1475.44,-71.78
1475.48,-71.821
1475.52,-71.847
1475.56,-71.868
1475.6,-71.879
1475.64,-71.91
1475.68,-71.968
1475.72,-71.987
1475.76,-72.031
1475.8,-72.089
1475.84,-72.099
1475.88,-72.104
1475.92,-72.13
1475.96,-72.114
1476,-72.185
1476.04,-72.202
1476.08,-72.221
1476.12,-72.248
1476.16,-72.257
1476.2,-72.259
1476.24,-72.309
1476.28,-72.283
1476.32,-72.353
1476.36,-72.413
1476.4,-72.473
1476.44,-72.472
1476.48,-72.486
1476.52,-72.509
1476.56,-72.519
1476.6,-72.558
1476.64,-72.602
1476.68,-72.63
1476.72,-72.673
1476.76,-72.693
1476.8,-72.74
1476.84,-72.762
1476.88,-72.761
1476.92,-72.803
1476.96,-72.868
1477,-72.921
1477.04,-72.955
1477.08,-73.039
1477.12,-73.042
1477.16,-73.038
1477.2,-73.034
1477.24,-73.063
1477.28,-73.065
1477.32,-73.131
1477.36,-73.135
1477.4,-73.14
1477.44,-73.178
1477.48,-73.187
1477.52,-73.234
1477.56,-73.234
1477.6,-73.248
1477.64,-73.31
1477.68,-73.363
1477.72,-73.388
1477.76,-73.516
1477.8,-73.57
1477.84,-73.597
1477.88,-73.615
1477.92,-73.566
1477.96,-73.557
1478,-73.504
1478.04,-73.616
1478.08,-73.574
1478.12,-73.633
1478.16,-73.664
1478.2,-73.683
1478.24,-73.678
1478.28,-73.688
1478.32,-73.736
1478.36,-73.764
1478.4,-73.777
1478.44,-73.817
1478.48,-73.763
1478.52,-73.81
1478.56,-73.854
1478.6,-73.875
1478.64,-73.837
1478.68,-73.931
1478.72,-73.898
1478.76,-73.917
1478.8,-73.949
1478.84,-73.949
1478.88,-73.986
1478.92,-74.026
1478.96,-73.997
1479,-74.057
1479.04,-74.053
1479.08,-74.09
1479.12,-74.071
1479.16,-74.097
1479.2,-74.109
1479.24,-74.145
1479.28,-74.141
1479.32,-74.174
1479.36,-74.158
1479.4,-74.221
1479.44,-74.268
1479.48,-74.253
1479.52,-74.265
1479.56,-74.255
1479.6,-74.231
1479.64,-74.249
1479.68,-74.234
1479.72,-74.281
1479.76,-74.331
1479.8,-74.237
1479.84,-74.263
1479.88,-74.247
1479.92,-74.267
1479.96,-74.296
1480,-74.307
1480.04,-74.327
1480.08,-74.329
1480.12,-74.26
1480.16,-74.307
1480.2,-74.338
1480.24,-74.304
1480.28,-74.4
1480.32,-74.403
1480.36,-74.399
1480.4,-74.39
1480.44,-74.37
1480.48,-74.282
1480.52,-74.315
1480.56,-74.304
1480.6,-74.312
1480.64,-74.289
1480.68,-74.304
1480.72,-74.308
1480.76,-74.285
1480.8,-74.226
1480.84,-74.237
1480.88,-74.204
1480.92,-74.22
1480.96,-74.206
1481,-74.207
1481.04,-74.164
1481.08,-74.192
1481.12,-74.125
1481.16,-74.128
1481.2,-74.103
1481.24,-74.106
1481.28,-74.095
1481.32,-74.089
1481.36,-74.068
1481.4,-73.985
1481.44,-73.972
1481.48,-73.993
1481.52,-73.971
1481.56,-73.931
1481.6,-73.942
1481.64,-73.964
1481.68,-73.952
1481.72,-73.944
1481.76,-73.871
1481.8,-73.801
1481.84,-73.764
1481.88,-73.717
1481.92,-73.724
1481.96,-73.665
1482,-73.618
1482.04,-73.605
1482.08,-73.606
1482.12,-73.592
1482.16,-73.582
1482.2,-73.506
1482.24,-73.496
1482.28,-73.445
1482.32,-73.366
1482.36,-73.382
1482.4,-73.337
1482.44,-73.37
1482.48,-73.304
1482.52,-73.257
1482.56,-73.214
1482.6,-73.231
1482.64,-73.171
1482.68,-73.164
1482.72,-73.114
1482.76,-73.084
1482.8,-73.054
1482.84,-73.03
1482.88,-72.981
1482.92,-72.959
1482.96,-72.929
1483,-72.891
